# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
1,209.989635,['1_train', '1_test'],[1.0, -0.053774066269397736, -0.053774066269397736, 1.000000238418579]
89,212.575791,['1_train', '1_test'],[1.0, -0.04005853831768036, -0.04005853831768036, 0.9999999403953552]
90,212.618955,['1_train', '1_test'],[1.0, -0.038182079792022705, -0.038182079792022705, 0.9999998211860657]
91,212.705583,['1_train', '1_test'],[1.0, -0.03592708334326744, -0.03592708334326744, 0.9999999403953552]
92,212.749583,['1_train', '1_test'],[1.0, -0.033926691859960556, -0.033926691859960556, 1.000000238418579]
93,212.792319,['1_train', '1_test'],[1.0, -0.032327257096767426, -0.032327257096767426, 1.0]
94,212.831801,['1_train', '1_test'],[1.0, -0.030005306005477905, -0.030005306005477905, 0.9999997615814209]
95,212.874841,['1_train', '1_test'],[1.0, -0.028616953641176224, -0.028616953641176224, 1.000000238418579]
96,212.919198,['1_train', '1_test'],[1.0, -0.026272781193256378, -0.026272781193256378, 0.9999998807907104]
97,212.962903,['1_train', '1_test'],[1.0, -0.02469784952700138, -0.02469784952700138, 1.0]
98,213.006249,['1_train', '1_test'],[1.0, -0.022837668657302856, -0.022837668657302856, 1.0]
99,213.048919,['1_train', '1_test'],[1.0, -0.020165106281638145, -0.020165106281638145, 1.000000238418579]
100,213.092275,['1_train', '1_test'],[1.0, -0.018998626619577408, -0.018998626619577408, 1.0]
101,213.139743,['1_train', '1_test'],[1.0, -0.019030699506402016, -0.019030699506402016, 1.0000001192092896]
102,213.185249,['1_train', '1_test'],[1.0, -0.016399545595049858, -0.016399545595049858, 1.0000001192092896]
103,213.230509,['1_train', '1_test'],[1.0, -0.014349906705319881, -0.014349906705319881, 1.000000238418579]
104,213.275726,['1_train', '1_test'],[1.0, -0.011470047757029533, -0.011470047757029533, 1.0]
105,213.320171,['1_train', '1_test'],[1.0, -0.010813498869538307, -0.010813498869538307, 0.9999997615814209]
106,213.364129,['1_train', '1_test'],[1.0, -0.009272328577935696, -0.009272328577935696, 1.000000238418579]
107,213.451329,['1_train', '1_test'],[1.0, -0.008888065814971924, -0.008888065814971924, 1.0]
108,213.494906,['1_train', '1_test'],[1.0, -0.007454477250576019, -0.007454477250576019, 1.0]
109,213.538767,['1_train', '1_test'],[1.0, -0.0065525732934474945, -0.0065525732934474945, 1.000000238418579]
110,213.625241,['1_train', '1_test'],[1.0, -0.004571707919239998, -0.004571707919239998, 0.9999999403953552]
111,213.669372,['1_train', '1_test'],[1.0, -0.003264298662543297, -0.003264298662543297, 1.0]
112,213.712593,['1_train', '1_test'],[1.0, -0.00038647884503006935, -0.00038647884503006935, 1.0]
113,213.753428,['1_train', '1_test'],[1.0, 0.0012361984699964523, 0.0012361984699964523, 0.9999999403953552]
114,213.794328,['1_train', '1_test'],[1.0, 0.00501988735049963, 0.00501988735049963, 1.000000238418579]
115,213.837311,['1_train', '1_test'],[1.0, 0.0064131091348826885, 0.0064131091348826885, 0.9999999403953552]
116,213.880813,['1_train', '1_test'],[1.0, 0.006295092403888702, 0.006295092403888702, 0.9999998807907104]
117,213.924965,['1_train', '1_test'],[1.0, 0.008697999641299248, 0.008697999641299248, 1.0000001192092896]
