# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
118,175.023574,['1_train', '1_test'],[1.0, 0.009012014605104923, 0.009012014605104923, 0.9999999403953552]
119,175.119564,['1_train', '1_test'],[1.0, 0.010592324659228325, 0.010592324659228325, 0.9999998807907104]
120,175.264039,['1_train', '1_test'],[1.0, 0.01136657316237688, 0.01136657316237688, 1.000000238418579]
121,175.358855,['1_train', '1_test'],[1.0, 0.011510919779539108, 0.011510919779539108, 1.0000001192092896]
122,175.407476,['1_train', '1_test'],[1.0, 0.011330879293382168, 0.011330879293382168, 1.0]
123,175.453844,['1_train', '1_test'],[1.0, 0.009984269738197327, 0.009984269738197327, 1.0]
124,175.502815,['1_train', '1_test'],[1.0, 0.010423198342323303, 0.010423198342323303, 1.0]
125,175.551563,['1_train', '1_test'],[1.0, 0.008861175738275051, 0.008861175738275051, 1.0]
126,175.599880,['1_train', '1_test'],[1.0, 0.008429049514234066, 0.008429049514234066, 0.9999999403953552]
127,175.647074,['1_train', '1_test'],[1.0, 0.00865032710134983, 0.00865032710134983, 1.0]
128,175.695174,['1_train', '1_test'],[1.0, 0.006172118242830038, 0.006172118242830038, 1.0000001192092896]
129,175.743848,['1_train', '1_test'],[1.0, 0.006607612129300833, 0.006607612129300833, 1.0]
130,175.792736,['1_train', '1_test'],[1.0, 0.004942623432725668, 0.004942623432725668, 1.000000238418579]
131,175.840714,['1_train', '1_test'],[1.0, 0.0041311755776405334, 0.0041311755776405334, 0.9999998807907104]
132,175.889129,['1_train', '1_test'],[1.0, 0.0019454504363238811, 0.0019454504363238811, 1.0]
133,175.937408,['1_train', '1_test'],[1.0, 0.0018569761887192726, 0.0018569761887192726, 1.0]
134,175.985929,['1_train', '1_test'],[1.0, 0.0002599605359137058, 0.0002599605359137058, 1.000000238418579]
135,176.034654,['1_train', '1_test'],[1.0, 3.513507544994354e-05, 3.513507544994354e-05, 1.0000001192092896]
